MasterIncidentNumber,CalendarYear,Month,DayOfMonth,Call_Type,Problem,Battalion,Jurisdiction,ResponseArea,PriorityDescription,Response Status,Districts,Location 1
13085867,2013,Sep,14,Fire,TRASH - Trash Fire,B3,AFD,00-2301,3F,Code 1,-,"(30365243, 97677917)"
13085910,2013,Sep,14,Fire,TRASH - Trash Fire,B2,AFD,00-3107,3F,Code 1,-,"(30329924, 97842639)"
13085953,2013,Sep,15,Fire,AUTO - Auto Fire,B4,AFD,00-3603,2F,Code 3,-,"(30127805, 97801027)"
13086093,2013,Sep,15,Fire,GRASS - Small Grass Fire,B5,AFD,00-2201,3F,Code 3,-,"(30225657, 97724293)"
13094929,2013,Oct,11,Fire,AUTO - Auto Fire,B3,AFD,00-0807,2F,Code 3,-,"(30391877, 97739351)"
13086120,2013,Sep,15,Fire,AUTO - Auto Fire,B3,AFD,00-2801,2F,Code 3,-,"(30398296, 97673095)"
13095125,2013,Oct,12,Fire,TRASH - Trash Fire,B4,AFD,00-3605,3F,Code 1,-,"(30176849, 97806986)"
13095203,2013,Oct,12,Fire,BBQ - Unsafe Cooking,B5,AFD,00-3502,4F,Code 1,-,"(30231656, 97736004)"
13095283,2013,Oct,12,Fire,ELEC - Electrical Fire,B4,AFD,00-2703,3F,Code 3,-,"(30244679, 97842803)"
13095527,2013,Oct,13,Fire,ELEC - Electrical Fire,B4,AFD,00-3601,3F,Code 3,-,"(30175764, 97784407)"
13086278,2013,Sep,16,Fire,ELEC - Electrical Fire,B3,AFD,00-3001,3F,Code 3,-,"(30384447, 97695066)"
13086397,2013,Sep,16,Fire,AUTO - Auto Fire,B2,AFD,00-2104,2F,Code 3,-,"(30367932, 97741919)"
13095657,2013,Oct,13,Fire,ELEC - Electrical Fire,B3,AFD,00-3001,3F,Code 3,-,"(30369967, 97693125)"
13095767,2013,Oct,13,Fire,AUTO - Auto Fire,B3,AFD,00-1801,2F,Code 3,-,"(30308513, 97679509)"
13095892,2013,Oct,13,Fire,TRASH - Trash Fire,B5,AFD,00-1501,3F,Code 3,-,"(30260094, 97693864)"
13086497,2013,Sep,16,Fire,ELEC - Electrical Fire,B4,AFD,00-1102,3F,Code 3,-,"(30239063, 97773173)"
13086647,2013,Sep,17,Fire,AUTO - Auto Fire,B1,AFD,00-0101,2F,Code 3,-,"(30255989, 97737098)"
13095914,2013,Oct,13,Fire,ELEC - Electrical Fire,B4,AFD,00-3701,3F,Code 3,-,"(30246535, 97887367)"
13095937,2013,Oct,14,Fire,ELEC - Electrical Fire,B1,AFD,00-0301,3F,Code 3,-,"(30292713, 97742687)"
13096157,2013,Oct,14,Fire,TRASH - Trash Fire,B3,AFD,00-3001,3F,Code 3,-,"(30376221, 97698921)"
13096173,2013,Oct,14,Fire,ELEC - Electrical Fire,B3,AFD,00-3002,3F,Code 3,-,"(30399569, 97692106)"
13096174,2013,Oct,14,Fire,ELEC - Electrical Fire,B4,AFD,00-2901,3F,Code 3,-,"(30207499, 97836613)"
13096178,2013,Oct,14,Fire,BOXL- Structure Fire,B2,AFD,00-3402,1F,Code 3,-,"(30461393, 97813166)"
13096216,2013,Oct,14,Fire,ELEC - Electrical Fire,B5,AFD,00-3502,3F,Code 3,-,"(30216729, 97736605)"
13096224,2013,Oct,14,Fire,TRASH - Trash Fire,B1,AFD,00-0102,3F,Code 1,-,"(30268966, 97742472)"
13096288,2013,Oct,15,Fire,AUTO - Auto Fire,B3,AFD,00-3002,2F,Code 3,-,"(30391133, 97705483)"
13096302,2013,Oct,15,Fire,AUTO - Auto Fire,B4,AFD,00-3604,2F,Code 3,-,"(30165256, 97787746)"
13096337,2013,Oct,15,Fire,BOXL- Structure Fire,B1,AFD,00-0303,1F,Code 3,-,"(30300308, 97737161)"
13086749,2013,Sep,17,Fire,TRASH - Trash Fire,B3,AFD,00-1803,3F,Code 3,-,"(30312299, 97708465)"
13086756,2013,Sep,17,Fire,ELEC - Electrical Fire,B1,AFD,00-1602,3F,Code 3,-,"(30336206, 97705956)"
13096388,2013,Oct,15,Fire,ELEC - Electrical Fire,B1,AFD,00-1601,3F,Code 3,-,"(30345464, 97725919)"
13096442,2013,Oct,15,Fire,BBQ - Unsafe Cooking,B4,AFD,00-1101,4F,Code 1,-,"(30261507, 97759979)"
13086770,2013,Sep,17,Fire,AUTO - Auto Fire,B4,AFD,00-3202,2F,Code 3,-,"(30268437, 97777782)"
13096627,2013,Oct,16,Fire,ELEC - Electrical Fire,B5,AFD,00-0502,3F,Code 3,-,"(30282626, 97684718)"
13086871,2013,Sep,18,Fire,ELEC - Electrical Fire,B4,AFD,00-3606,3F,Code 3,-,"(30188774, 97794145)"
13086955,2013,Sep,18,Fire,ELEC - Electrical Fire,B2,AFD,00-3102,3F,Code 1,-,"(30395225, 97800928)"
13096664,2013,Oct,16,Fire,AUTO - Auto Fire,B4,AFD,00-1701,2F,Code 3,-,"(30223016, 97764997)"
13087016,2013,Sep,18,Fire,FIRE - Fire Standby,B5,AFD,00-4212,4F,Left Blank,-,"(30134681, 97637637)"
13087030,2013,Sep,18,Fire,GRASS - Small Grass Fire,B2,AFD,00-4404,3F,Code 3,-,"(30443859, 97742349)"
13096753,2013,Oct,16,Fire,ELEC - Electrical Fire,B1,AFD,00-1901,3F,Code 3,-,"(30337131, 97758729)"
13096880,2013,Oct,17,Fire,AUTO - Auto Fire,B2,AFD,00-3103,2F,Code 3,-,"(30358937, 97788018)"
13096908,2013,Oct,17,Fire,AUTO - Auto Fire,B3,AFD,00-1404,2F,Code 3,-,"(30301213, 97715542)"
13096971,2013,Oct,17,Fire,ELEC - Electrical Fire,B5,AFD,00-3502,3F,Code 3,-,"(30216579, 97736005)"
13097057,2013,Oct,17,Fire,ELEC - Electrical Fire,B5,AFD,00-3504,3F,Code 3,-,"(30197807, 97701853)"
13097087,2013,Oct,17,Fire,ELEC - Electrical Fire,B1,AFD,00-1003,3F,Code 3,-,"(30294977, 97783743)"
13097141,2013,Oct,17,Fire,AUTO - Auto Fire,B4,AFD,00-3605,2F,Code 3,-,"(30181566, 97795817)"
13097176,2013,Oct,18,Fire,TRASH - Trash Fire,B5,AFD,00-3502,3F,Code 3,-,"(30220781, 97742353)"
13097184,2013,Oct,18,Fire,AUTO - Auto Fire,B3,AFD,00-1403,2F,Code 3,-,"(30282991, 97727082)"
13097380,2013,Oct,18,Fire,TRASH - Trash Fire,B1,AFD,00-0102,3F,Code 3,-,"(30266226, 97747304)"
13097431,2013,Oct,18,Fire,TRASH - Trash Fire,B3,AFD,00-1802,3F,Code 3,-,"(30301398, 97689128)"
13097482,2013,Oct,18,Fire,BBQ - Unsafe Cooking,B5,AFD,00-2202,4F,Code 1,-,"(30235454, 97724774)"
13097491,2013,Oct,18,Fire,ELEC - Electrical Fire,B3,AFD,00-1801,3F,Code 3,-,"(30323295, 97674461)"
13097515,2013,Oct,18,Fire,TRASH - Trash Fire,B3,AFD,00-1803,3F,Code 3,-,"(30310421, 97702254)"
13087135,2013,Sep,19,Fire,AUTO - Auto Fire,B3,AFD,00-1403,2F,Code 3,-,"(30282991, 97727082)"
13097650,2013,Oct,19,Fire,GRASS - Small Grass Fire,B2,AFD,00-4504,3F,Code 3,-,"(30494152, 97791493)"
13097663,2013,Oct,19,Fire,AUTO - Auto Fire,B4,AFD,00-4301,2F,Code 3,-,"(30200595, 97878441)"
13087159,2013,Sep,19,Fire,AUTO - Auto Fire,B1,AFD,00-0202,2F,Code 3,-,"(30277591, 97741936)"
13097723,2013,Oct,19,Fire,BBQ - Unsafe Cooking,B1,AFD,00-0302,4F,Code 3,-,"(30307033, 97749532)"
13087223,2013,Sep,19,Fire,AUTO - Auto Fire,B5,AFD,00-4203,2F,Left Blank,-,"(30167354, 97659302)"
13097778,2013,Oct,19,Fire,DUMP - Dumpster Fire,B3,AFD,00-3003,3F,Code 3,-,"(30381932, 97686374)"
13097800,2013,Oct,19,Fire,BOXL- Structure Fire,B3,AFD,00-1403,1F,Code 3,-,"(30286289, 97719612)"
13097801,2013,Oct,19,Fire,BBQ - Unsafe Cooking,B3,AFD,00-2608,4F,Code 1,-,"(30301628, 97651099)"
13087255,2013,Sep,19,Fire,AUTO - Auto Fire,B5,AFD,00-3502,2F,Code 3,-,"(30232374, 97741422)"
13097859,2013,Oct,20,Fire,TRASH - Trash Fire,B5,AFD,00-2402,3F,Left Blank,-,"(30200425, 97756243)"
