tweet_id,handle,retweet_count,text,mined_at,created_at
1227108116808052736,Donald J. Trump,4847,"RT @JudicialWatch: BREAKING: @TomFitton made the following statement regarding the Senate’s vote to acquit @realDonaldTrump: ""Congratulatio…",2020-02-12 14:18:37.532214,Tue Feb 11 05:52:28 +0000 2020
1227107753887518721,Donald J. Trump,6374,RT @TomFitton: VINDICATION: @RealDonaldTrump INNOCENT And Should Demand Justice for Coup Attack--from Schiff to Obama; @JudicialWatch Study…,2020-02-12 14:18:37.532216,Tue Feb 11 05:51:01 +0000 2020
1227040292060180481,Donald J. Trump,58240,TOUGH GUYS FOR TRUMP! https://t.co/DbjZjGzLWU,2020-02-12 14:18:37.532218,Tue Feb 11 01:22:57 +0000 2020
1227039892489805826,Donald J. Trump,20052,"THANK YOU NEW HAMPSHIRE! 
https://t.co/dvZq0UPjHI",2020-02-12 14:18:37.532220,Tue Feb 11 01:21:22 +0000 2020
1226965160692191233,Donald J. Trump,25301,“A lot of people feel defeated...Trump always wins. It seems like nothing can stop him.” Danny Villazon  @nytimes… https://t.co/qr7pY4rjma,2020-02-12 14:18:37.532222,Mon Feb 10 20:24:24 +0000 2020
1226958810989965312,Donald J. Trump,23501,Wall Street Journal Editorial: “She (Crazy Nancy) aimed at Trump and hit Uncle Joe.”,2020-02-12 14:18:37.532224,Mon Feb 10 19:59:10 +0000 2020
1226907232324984832,Donald J. Trump,13138,"RT @jonkarl: Cold rain, snow and lots of Trump supporters.  Despite the miserable weather, there are already more people lining up outside…",2020-02-12 14:18:37.532226,Mon Feb 10 16:34:13 +0000 2020
1226877019419488257,Donald J. Trump,32437,"RT @realDonaldTrump: It’s all turning, and fast! MVP Heckler.",2020-02-12 14:18:37.532228,Mon Feb 10 14:34:10 +0000 2020
1226876255955451904,Donald J. Trump,8533,"RT @BrandonBeckham_: @realDonaldTrump @mirandadevine 🇺🇸KEEP AMERICA GREAT

In just 3 years President @realDonaldTrump has accomplished Grea…",2020-02-12 14:18:37.532230,Mon Feb 10 14:31:08 +0000 2020
1226876234719735808,Donald J. Trump,6004,RT @SexCounseling: @realDonaldTrump @mirandadevine The people are happy with President Trump and they see how poorly he is being treated.,2020-02-12 14:18:37.532232,Mon Feb 10 14:31:03 +0000 2020
1226875644325265413,Donald J. Trump,16386,Meeting with U.S. Governors in a short while. All States are doing well. “Thank you Mr. President.”,2020-02-12 14:18:37.532234,Mon Feb 10 14:28:42 +0000 2020
1226874798715949057,Donald J. Trump,16759,Thank you to @mirandadevine of the New York Post for your interesting (and correct) column today. “Trump has gained… https://t.co/leKSO04RaK,2020-02-12 14:18:37.532236,Mon Feb 10 14:25:20 +0000 2020
1226857034601115650,Donald J. Trump,25645,"Hope the Fake News, which never discusses it, is talking about the big crowds forming for my New Hampshire Rally tonight. They won’t!",2020-02-12 14:18:37.532240,Mon Feb 10 13:14:45 +0000 2020
1226847711703584768,Donald J. Trump,26909,"Because of how badly they did with the Impeachment Hoax, AOC will primary Cryin’ Chuck Schumer, and win, and Jerry… https://t.co/XveavP2VAR",2020-02-12 14:18:37.532242,Mon Feb 10 12:37:42 +0000 2020
1226835190569414657,Donald J. Trump,30527,"95% Approval Rating in the Republican Party, a Record! 53% overall (plus add 9 points?). Corrupt Democrat politicia… https://t.co/tGHjRotZgZ",2020-02-12 14:18:37.532244,Mon Feb 10 11:47:57 +0000 2020
1226830302485630977,Donald J. Trump,21428,"Will be in Manchester, New Hampshire, tonight for a big Rally. Want to shake up the Dems a little bit - they have a… https://t.co/DuAvtSrqTh",2020-02-12 14:18:37.532246,Mon Feb 10 11:28:32 +0000 2020
1226826896203272192,Donald J. Trump,43656,"RT @Scavino45: It would be soooooo terrible if this video hits 10,000,000 views, as Nancy doesn’t want Americans to see how disgraceful she…",2020-02-12 14:18:37.532248,Mon Feb 10 11:15:00 +0000 2020
1226595698793230348,Donald J. Trump,44003,"MAKE AMERICA GREAT AGAIN and then, KEEP AMERICA GREAT!",2020-02-12 14:18:37.532250,Sun Feb 09 19:56:18 +0000 2020
1226595322174083072,Donald J. Trump,40473,DRAIN THE SWAMP!,2020-02-12 14:18:37.532252,Sun Feb 09 19:54:48 +0000 2020
