Name,Position,Salary
Gary Clark,Small Forward,596872
Markieff Morris,Power Forward,573295
Nik Stauskas,Shooting Guard,540472
Salah Mejri,Center,531189
Pau Gasol,Center,527467
Bruno Caboclo,Small Forward,522150
Andrew Bogut,Center,486892
John Jenkins,Shooting Guard,486520
Chris Boucher,Power Forward,457418
Malcolm Miller,Small Forward,457418
Edmond Sumner,Point Guard,449794
Henry Ellenson,Power Forward,341831
Danuel House,Small Forward,247827
Jaylen Adams,Point Guard,236854
Tim Frazier,Point Guard,210692
Jimmer Fredette,Point Guard,198580
Jodie Meeks,Shooting Guard,196724
Dairis Bertans,Shooting Guard,194220
Ray Spalding,Power Forward,184746
Deonte Burton,Small Forward,151587
Corey Brewer,Shooting Guard,135248
Corey Brewer,Shooting Guard,135248
Corey Brewer,Shooting Guard,135248
Jodie Meeks,Shooting Guard,122953
Greg Monroe,Center,122344
Cam Reynolds,Forward,108953
Tyler Zeller,Center,106974
Quincy Acy,Power Forward,106974
Quincy Acy,Power Forward,106974
John Jenkins,Shooting Guard,99290
John Jenkins,Shooting Guard,99290
Terrence Jones,Power Forward,99290
Terrence Jones,Power Forward,99290
Michael Carter-Williams,Point Guard,99290
Michael Carter-Williams,Point Guard,99290
Walter Lemon Jr.,Point Guard,99107
Bruno Caboclo,Small Forward,91605
Bruno Caboclo,Small Forward,91605
Isaiah Canaan,Point Guard,91605
Isaiah Canaan,Point Guard,91605
Isaiah Canaan,Point Guard,91605
Chris Chiozza,Point Guard,90005
JaKarr Sampson,Shooting Guard,88531
Cameron Payne,Point Guard,88531
Cameron Payne,Point Guard,88531
Eric Moreland,Power Forward,88531
Greg Monroe,Center,85640
Gary Payton II,Point Guard,85458
Henry Ellenson,Power Forward,85458
Deyonta Davis,Center,85458
Deyonta Davis,Center,85458
Scotty Hopson,Small Forward,85458
James Nunnally,Small Forward,76236
Andre Ingram,Guard,76236
Scott Machado,Point Guard,76236
Kobi Simmons,Point Guard,76236
Charles Cooke,Guard,76236
Michael Carter-Williams,Point Guard,69503
Donatas Motiejunas,Power Forward,69503
Tyler Zeller,Center,64185
Jermerrio Jones,Forward,52108
Chris Chiozza,Point Guard,47371
Isaac Humphries,Center,47371
B.J. Johnson,Small Forward,47371
Richard Solomon,Power Forward,47371
B.J. Johnson,Small Forward,47371
Jordan Sibert,Shooting Guard,47371
Stephan Hicks,Guard,47371
Justin Bibbs,Guard,47371
Justin Bibbs,Guard,47371
Mitch Creek,Guard,47371
Mitch Creek,Guard,47371
Ray Spalding,Power Forward,47371
Emanuel Terry,Forward,47371
Dusty Hannahs,Guard,47371
Emanuel Terry,Forward,47371
Cody Demps,Forward,47371
B.J. Johnson,Small Forward,47371
Mitch Creek,Guard,47371
Cam Reynolds,Forward,47371
Billy Garrett,Shooting Guard,42634
Deyonta Davis,Center,25637
Michael Frazier,Shooting Guard,23685
Eric Moreland,Power Forward,17706
Jordan McRae,Shooting Guard,17092
Jonathan Gibson,Point Guard,17092
Yante Maten,Power Forward,14211
Tarik Phillip,Guard,9474
Duncan Robinson,Forward,9474
Mitch Creek,Guard,9474
Theo Pinson,Shooting Guard,4737
Kendrick Nunn,Shooting Guard,4737
